{'eval_loss': 3.0008277893066406, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.05363781200212427, 'eval_runtime': 9.0213, 'eval_samples_per_second': 834.91, 'eval_steps_per_second': 52.21}
{'eval_loss': 2.8898818492889404, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.16662241104620287, 'eval_runtime': 9.1637, 'eval_samples_per_second': 821.937, 'eval_steps_per_second': 51.398}
{'eval_loss': 2.8725686073303223, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.19649495485926713, 'eval_runtime': 9.1723, 'eval_samples_per_second': 821.167, 'eval_steps_per_second': 51.35}
{'eval_loss': 2.8525702953338623, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.2097716409984068, 'eval_runtime': 9.1395, 'eval_samples_per_second': 824.115, 'eval_steps_per_second': 51.535}
{'eval_loss': 2.8325281143188477, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.2055231014338821, 'eval_runtime': 9.1276, 'eval_samples_per_second': 825.19, 'eval_steps_per_second': 51.602}
{'eval_loss': 2.8156821727752686, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.19901752522570365, 'eval_runtime': 9.1356, 'eval_samples_per_second': 824.469, 'eval_steps_per_second': 51.557}
{'eval_loss': 2.797884702682495, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.23898035050451408, 'eval_runtime': 9.1254, 'eval_samples_per_second': 825.385, 'eval_steps_per_second': 51.614}
{'eval_loss': 2.781809091567993, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.25385023898035053, 'eval_runtime': 9.1156, 'eval_samples_per_second': 826.271, 'eval_steps_per_second': 51.669}
{'eval_loss': 2.7670812606811523, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.25531067445565586, 'eval_runtime': 9.1227, 'eval_samples_per_second': 825.632, 'eval_steps_per_second': 51.629}
{'eval_loss': 2.7532668113708496, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.2652681890600106, 'eval_runtime': 9.1378, 'eval_samples_per_second': 824.27, 'eval_steps_per_second': 51.544}
{'eval_loss': 2.7382423877716064, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.2810674455655868, 'eval_runtime': 9.0969, 'eval_samples_per_second': 827.974, 'eval_steps_per_second': 51.776}
{'eval_loss': 2.722982883453369, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.27615507169410514, 'eval_runtime': 9.0968, 'eval_samples_per_second': 827.983, 'eval_steps_per_second': 51.776}
{'eval_loss': 2.710023880004883, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.26858736059479554, 'eval_runtime': 9.0917, 'eval_samples_per_second': 828.445, 'eval_steps_per_second': 51.805}
{'eval_loss': 2.6981747150421143, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.2683218268720127, 'eval_runtime': 9.0731, 'eval_samples_per_second': 830.145, 'eval_steps_per_second': 51.912}
{'eval_loss': 2.6856398582458496, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.2618162506638343, 'eval_runtime': 9.0554, 'eval_samples_per_second': 831.768, 'eval_steps_per_second': 52.013}
{'eval_loss': 2.6737544536590576, 'eval_model_preparation_time': 0.0027, 'eval_acc': 0.2817312798725438, 'eval_runtime': 9.0323, 'eval_samples_per_second': 833.897, 'eval_steps_per_second': 52.146}
{'eval_loss': 2.6621131896972656, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.2863781200212427, 'eval_runtime': 9.0161, 'eval_samples_per_second': 835.395, 'eval_steps_per_second': 52.24}
{'eval_loss': 2.6487932205200195, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.2983271375464684, 'eval_runtime': 9.032, 'eval_samples_per_second': 833.925, 'eval_steps_per_second': 52.148}
{'eval_loss': 2.6371543407440186, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.3158523632501328, 'eval_runtime': 9.1059, 'eval_samples_per_second': 827.154, 'eval_steps_per_second': 51.725}
{'eval_loss': 2.626297950744629, 'eval_model_preparation_time': 0.0029, 'eval_acc': 0.31213489113117365, 'eval_runtime': 9.1771, 'eval_samples_per_second': 820.742, 'eval_steps_per_second': 51.324}
{'eval_loss': 2.6167726516723633, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.31240042485395647, 'eval_runtime': 9.1447, 'eval_samples_per_second': 823.646, 'eval_steps_per_second': 51.505}
{'eval_loss': 2.605217695236206, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.32342007434944237, 'eval_runtime': 9.1283, 'eval_samples_per_second': 825.124, 'eval_steps_per_second': 51.598}
{'eval_loss': 2.5957725048065186, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.3179766330323951, 'eval_runtime': 9.108, 'eval_samples_per_second': 826.968, 'eval_steps_per_second': 51.713}
{'eval_loss': 2.5891244411468506, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.31996813595326606, 'eval_runtime': 9.08, 'eval_samples_per_second': 829.514, 'eval_steps_per_second': 51.872}
{'eval_loss': 2.5814435482025146, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.32766861391396707, 'eval_runtime': 9.0809, 'eval_samples_per_second': 829.436, 'eval_steps_per_second': 51.867}
{'eval_loss': 2.5719869136810303, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.32899628252788105, 'eval_runtime': 9.0713, 'eval_samples_per_second': 830.315, 'eval_steps_per_second': 51.922}
{'eval_loss': 2.563910961151123, 'eval_model_preparation_time': 0.0024, 'eval_acc': 0.3267392458842273, 'eval_runtime': 9.1273, 'eval_samples_per_second': 825.216, 'eval_steps_per_second': 51.603}
{'eval_loss': 2.5571577548980713, 'eval_model_preparation_time': 0.0036, 'eval_acc': 0.3267392458842273, 'eval_runtime': 9.2069, 'eval_samples_per_second': 818.078, 'eval_steps_per_second': 51.157}
{'eval_loss': 2.5500338077545166, 'eval_model_preparation_time': 0.0026, 'eval_acc': 0.3210302708443972, 'eval_runtime': 9.1611, 'eval_samples_per_second': 822.168, 'eval_steps_per_second': 51.413}
{'eval_loss': 2.5429396629333496, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.3315188528943176, 'eval_runtime': 9.1093, 'eval_samples_per_second': 826.845, 'eval_steps_per_second': 51.705}
{'eval_loss': 2.5365285873413086, 'eval_model_preparation_time': 0.0026, 'eval_acc': 0.3272703133297929, 'eval_runtime': 9.042, 'eval_samples_per_second': 833.002, 'eval_steps_per_second': 52.09}
{'eval_loss': 2.5299928188323975, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.3307222517259692, 'eval_runtime': 9.0147, 'eval_samples_per_second': 835.528, 'eval_steps_per_second': 52.248}
{'eval_loss': 2.5238232612609863, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.33523632501327666, 'eval_runtime': 9.0473, 'eval_samples_per_second': 832.513, 'eval_steps_per_second': 52.06}
{'eval_loss': 2.51719069480896, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.33337758895379715, 'eval_runtime': 9.0515, 'eval_samples_per_second': 832.13, 'eval_steps_per_second': 52.036}
{'eval_loss': 2.512207269668579, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.3348380244291025, 'eval_runtime': 9.0718, 'eval_samples_per_second': 830.27, 'eval_steps_per_second': 51.919}
{'eval_loss': 2.5058910846710205, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.3344397238449283, 'eval_runtime': 9.139, 'eval_samples_per_second': 824.157, 'eval_steps_per_second': 51.537}
{'eval_loss': 2.5009145736694336, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.3434678704195433, 'eval_runtime': 9.1834, 'eval_samples_per_second': 820.173, 'eval_steps_per_second': 51.288}
{'eval_loss': 2.4982900619506836, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.3201009028146575, 'eval_runtime': 9.1478, 'eval_samples_per_second': 823.371, 'eval_steps_per_second': 51.488}
{'eval_loss': 2.4884657859802246, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.3421402018056293, 'eval_runtime': 9.1139, 'eval_samples_per_second': 826.426, 'eval_steps_per_second': 51.679}
{'eval_loss': 2.484048366546631, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.33948486457780136, 'eval_runtime': 9.0794, 'eval_samples_per_second': 829.575, 'eval_steps_per_second': 51.876}
{'eval_loss': 2.4794962406158447, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.3428040361125863, 'eval_runtime': 9.0936, 'eval_samples_per_second': 828.279, 'eval_steps_per_second': 51.795}
{'eval_loss': 2.4740819931030273, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.34466277217206587, 'eval_runtime': 9.0826, 'eval_samples_per_second': 829.279, 'eval_steps_per_second': 51.857}
{'eval_loss': 2.469727039337158, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.33749336165693045, 'eval_runtime': 9.0522, 'eval_samples_per_second': 832.062, 'eval_steps_per_second': 52.031}
{'eval_loss': 2.464837074279785, 'eval_model_preparation_time': 0.0023, 'eval_acc': 0.35369091874668085, 'eval_runtime': 9.0758, 'eval_samples_per_second': 829.903, 'eval_steps_per_second': 51.896}
{'eval_loss': 2.4606621265411377, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.34798194370685076, 'eval_runtime': 9.1847, 'eval_samples_per_second': 820.056, 'eval_steps_per_second': 51.281}
{'eval_loss': 2.455348253250122, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.35780669144981414, 'eval_runtime': 9.18, 'eval_samples_per_second': 820.481, 'eval_steps_per_second': 51.307}
{'eval_loss': 2.4504458904266357, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.3347052575677111, 'eval_runtime': 9.1739, 'eval_samples_per_second': 821.025, 'eval_steps_per_second': 51.341}
{'eval_loss': 2.446650743484497, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.3623207647371216, 'eval_runtime': 9.1361, 'eval_samples_per_second': 824.425, 'eval_steps_per_second': 51.554}
{'eval_loss': 2.442312240600586, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.3475836431226766, 'eval_runtime': 9.0805, 'eval_samples_per_second': 829.466, 'eval_steps_per_second': 51.869}
{'eval_loss': 2.4367966651916504, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.35262878385554963, 'eval_runtime': 9.079, 'eval_samples_per_second': 829.604, 'eval_steps_per_second': 51.878}
{'eval_loss': 2.431933641433716, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.36125862984599044, 'eval_runtime': 9.039, 'eval_samples_per_second': 833.274, 'eval_steps_per_second': 52.107}
{'eval_loss': 2.428122043609619, 'eval_model_preparation_time': 0.0026, 'eval_acc': 0.35581518852894317, 'eval_runtime': 9.0444, 'eval_samples_per_second': 832.785, 'eval_steps_per_second': 52.077}
{'eval_loss': 2.423858165740967, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.35010621348911314, 'eval_runtime': 9.0872, 'eval_samples_per_second': 828.854, 'eval_steps_per_second': 51.831}
{'eval_loss': 2.420888662338257, 'eval_model_preparation_time': 0.0026, 'eval_acc': 0.3511683483802443, 'eval_runtime': 9.187, 'eval_samples_per_second': 819.857, 'eval_steps_per_second': 51.268}
{'eval_loss': 2.4168894290924072, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.35568242166755176, 'eval_runtime': 9.1743, 'eval_samples_per_second': 820.991, 'eval_steps_per_second': 51.339}
{'eval_loss': 2.4136362075805664, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.3503717472118959, 'eval_runtime': 9.1776, 'eval_samples_per_second': 820.695, 'eval_steps_per_second': 51.321}
{'eval_loss': 2.4095327854156494, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.3657727031332979, 'eval_runtime': 9.1253, 'eval_samples_per_second': 825.395, 'eval_steps_per_second': 51.615}
{'eval_loss': 2.4072866439819336, 'eval_model_preparation_time': 0.0027, 'eval_acc': 0.36192246415294743, 'eval_runtime': 9.0885, 'eval_samples_per_second': 828.736, 'eval_steps_per_second': 51.824}
{'eval_loss': 2.4030537605285645, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.347716409984068, 'eval_runtime': 9.0728, 'eval_samples_per_second': 830.175, 'eval_steps_per_second': 51.914}
{'eval_loss': 2.4010493755340576, 'eval_model_preparation_time': 0.0051, 'eval_acc': 0.3524960169941583, 'eval_runtime': 9.0519, 'eval_samples_per_second': 832.087, 'eval_steps_per_second': 52.033}
{'eval_loss': 2.396399736404419, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.35647902283590016, 'eval_runtime': 9.0313, 'eval_samples_per_second': 833.991, 'eval_steps_per_second': 52.152}
{'eval_loss': 2.3949124813079834, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.3667020711630377, 'eval_runtime': 9.0949, 'eval_samples_per_second': 828.16, 'eval_steps_per_second': 51.787}
{'eval_loss': 2.3915233612060547, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.38011152416356875, 'eval_runtime': 9.1226, 'eval_samples_per_second': 825.645, 'eval_steps_per_second': 51.63}
{'eval_loss': 2.3885157108306885, 'eval_model_preparation_time': 0.0026, 'eval_acc': 0.3751991502920871, 'eval_runtime': 9.1369, 'eval_samples_per_second': 824.346, 'eval_steps_per_second': 51.549}
{'eval_loss': 2.382369041442871, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.3779872543813064, 'eval_runtime': 9.1009, 'eval_samples_per_second': 827.611, 'eval_steps_per_second': 51.753}
{'eval_loss': 2.3797495365142822, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.3700212426978226, 'eval_runtime': 9.1226, 'eval_samples_per_second': 825.638, 'eval_steps_per_second': 51.63}
{'eval_loss': 2.377650737762451, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.37466808284652153, 'eval_runtime': 9.112, 'eval_samples_per_second': 826.605, 'eval_steps_per_second': 51.69}
{'eval_loss': 2.372941493988037, 'eval_model_preparation_time': 0.0026, 'eval_acc': 0.377854487519915, 'eval_runtime': 9.0955, 'eval_samples_per_second': 828.099, 'eval_steps_per_second': 51.784}
{'eval_loss': 2.372835159301758, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.3680297397769517, 'eval_runtime': 9.0556, 'eval_samples_per_second': 831.754, 'eval_steps_per_second': 52.012}
{'eval_loss': 2.3679487705230713, 'eval_model_preparation_time': 0.0027, 'eval_acc': 0.380509824747743, 'eval_runtime': 9.0652, 'eval_samples_per_second': 830.871, 'eval_steps_per_second': 51.957}
{'eval_loss': 2.3632616996765137, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.3842272968667021, 'eval_runtime': 9.0628, 'eval_samples_per_second': 831.088, 'eval_steps_per_second': 51.971}
{'eval_loss': 2.363344192504883, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.3860860329261816, 'eval_runtime': 9.1124, 'eval_samples_per_second': 826.567, 'eval_steps_per_second': 51.688}
{'eval_loss': 2.361178159713745, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.3863515666489644, 'eval_runtime': 9.0785, 'eval_samples_per_second': 829.656, 'eval_steps_per_second': 51.881}
{'eval_loss': 2.3583500385284424, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.3839617631439193, 'eval_runtime': 9.0739, 'eval_samples_per_second': 830.073, 'eval_steps_per_second': 51.907}
{'eval_loss': 2.355243682861328, 'eval_model_preparation_time': 0.0026, 'eval_acc': 0.3898035050451407, 'eval_runtime': 9.0085, 'eval_samples_per_second': 836.104, 'eval_steps_per_second': 52.284}
{'eval_loss': 2.351956605911255, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.3890069038767924, 'eval_runtime': 8.9899, 'eval_samples_per_second': 837.829, 'eval_steps_per_second': 52.392}
{'eval_loss': 2.3504748344421387, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.3944503451938396, 'eval_runtime': 8.9882, 'eval_samples_per_second': 837.986, 'eval_steps_per_second': 52.402}
{'eval_loss': 2.348604917526245, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.3913967073818375, 'eval_runtime': 8.9542, 'eval_samples_per_second': 841.167, 'eval_steps_per_second': 52.601}
{'eval_loss': 2.3465495109558105, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.3925916091343601, 'eval_runtime': 9.0043, 'eval_samples_per_second': 836.494, 'eval_steps_per_second': 52.309}
{'eval_loss': 2.3418169021606445, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.39577801380775357, 'eval_runtime': 9.0521, 'eval_samples_per_second': 832.076, 'eval_steps_per_second': 52.032}
{'eval_loss': 2.34031081199646, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.3896707381837493, 'eval_runtime': 9.1204, 'eval_samples_per_second': 825.841, 'eval_steps_per_second': 51.643}
{'eval_loss': 2.3371024131774902, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.39737121614445037, 'eval_runtime': 9.1313, 'eval_samples_per_second': 824.857, 'eval_steps_per_second': 51.581}
{'eval_loss': 2.333441972732544, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.39431757833244824, 'eval_runtime': 9.142, 'eval_samples_per_second': 823.886, 'eval_steps_per_second': 51.52}
{'eval_loss': 2.3338470458984375, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.4110462028677642, 'eval_runtime': 9.1026, 'eval_samples_per_second': 827.453, 'eval_steps_per_second': 51.743}
{'eval_loss': 2.3312807083129883, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.4101168348380244, 'eval_runtime': 9.0732, 'eval_samples_per_second': 830.139, 'eval_steps_per_second': 51.911}
{'eval_loss': 2.3269386291503906, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.4032129580456718, 'eval_runtime': 9.0877, 'eval_samples_per_second': 828.808, 'eval_steps_per_second': 51.828}
{'eval_loss': 2.3253369331359863, 'eval_model_preparation_time': 0.0028, 'eval_acc': 0.3953797132235794, 'eval_runtime': 9.0632, 'eval_samples_per_second': 831.051, 'eval_steps_per_second': 51.968}
{'eval_loss': 2.3213796615600586, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.40201805629314924, 'eval_runtime': 9.066, 'eval_samples_per_second': 830.794, 'eval_steps_per_second': 51.952}
{'eval_loss': 2.3207268714904785, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.39922995220392987, 'eval_runtime': 9.1226, 'eval_samples_per_second': 825.645, 'eval_steps_per_second': 51.63}
{'eval_loss': 2.3176374435424805, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.3994954859267127, 'eval_runtime': 9.0864, 'eval_samples_per_second': 828.928, 'eval_steps_per_second': 51.836}
